candidato,fecha,encuestadora,porcentaje
RAC,2017.11.01,Parametria,24
RAC,2017.11.01,Defoe Spin,24
RAC,2017.11.01,Parametria,17
RAC,2017.11.01,Defoe Spin,16
RAC,2017.11.16,El Financiero,21
RAC,2017.11.16,El Financiero,15
RAC,2017.11.17,Buendia & Laredo,26
RAC,2017.11.17,Buendia & Laredo,22
RAC,2017.11.21,GEA ISA,30
RAC,2017.11.21,GEA ISA,23
RAC,2017.11.21,Reforma,25
RAC,2017.11.21,Reforma,19
RAC,2017.12.04,Buendia & Laredo,26
RAC,2017.12.04,Buendia & Laredo,23
RAC,2017.12.09,Consulta,28
RAC,2017.12.09,Consulta,20
RAC,2017.12.17,Parametria,23
RAC,2017.12.17,Parametria,19
RAC,2017.12.18,Defoe Spin,23
RAC,2017.12.18,Defoe Spin,15
RAC,2018.01.05,Suasor,25
RAC,2018.01.05,Suasor,19
RAC,2018.01.14,Consulta,29
RAC,2018.01.14,Consulta,20
RAC,2018.01.25,Buendia & Laredo,32
RAC,2018.01.25,Buendia & Laredo,26
RAC,2018.01.28,Suasor,28
RAC,2018.01.28,Suasor,20
RAC,2018.01.31,El Financiero,28
RAC,2018.01.31,El Financiero,21
RAC,2018.02.02,Parametria,27
RAC,2018.02.02,Parametria,23
RAC,2018.02.04,Mendoza Blanco,34
RAC,2018.02.04,Mendoza Blanco,26
RAC,2018.02.11,Parametro,28
RAC,2018.02.11,Reforma,32
RAC,2018.02.11,Consulta,30
RAC,2018.02.11,Parametro,23
RAC,2018.02.11,Reforma,25
RAC,2018.02.11,Consulta,22
RAC,2018.02.27,Suasor,28
RAC,2018.02.27,Suasor,23
RAC,2018.03.01,Parametria,24
RAC,2018.03.01,Parametria,21
RAC,2018.03.03,GEA ISA,32
RAC,2018.03.03,Ipsos,29
RAC,2018.03.03,Ipsos,23
RAC,2018.03.03,GEA ISA,23
RAC,2018.03.14,El Financiero,23
RAC,2018.03.14,El Financiero,16
RAC,2018.03.18,Consulta,29
RAC,2018.03.18,Consulta,21
RAC,2018.03.21,Varela y Asoc,30
RAC,2018.03.21,Varela y Asoc,25
RAC,2018.03.23,Suasor,26
RAC,2018.03.23,Suasor,22
RAC,2018.03.25,Mendoza Blanco,33
RAC,2018.03.25,Mendoza Blanco,25
RAC,2018.03.28,Mercaei,27
RAC,2018.03.28,Parametria,23
RAC,2018.03.28,Parametria,20
RAC,2018.03.28,Mercaei,22
RAC,2018.04.05,Berumen y Asoc,31
RAC,2018.04.05,Berumen y Asoc,26
RAC,2018.04.15,Consulta,28
RAC,2018.04.15,Reforma,26
RAC,2018.04.15,Reforma,21
RAC,2018.04.15,Consulta,21
RAC,2018.04.20,BGC,32
RAC,2018.04.20,BGC,27
RAC,2018.04.28,La Silla Rota,29
RAC,2018.04.28,La Silla Rota,23
RAC,2018.04.30,Reforma,30
RAC,2018.04.30,Parametria,29
RAC,2018.04.30,Parametria,25
RAC,2018.04.30,Reforma,25
JAM,2017.11.01,Parametria,24
JAM,2017.11.01,Defoe Spin,30
JAM,2017.11.01,Parametria,17
JAM,2017.11.01,Defoe Spin,20
JAM,2017.11.16,El Financiero,21
JAM,2017.11.16,El Financiero,15
JAM,2017.11.17,Buendia & Laredo,22
JAM,2017.11.17,Buendia & Laredo,19
JAM,2017.11.21,GEA ISA,25
JAM,2017.11.21,GEA ISA,19
JAM,2017.11.21,Reforma,22
JAM,2017.11.21,Reforma,17
JAM,2017.12.04,Buendia & Laredo,21
JAM,2017.12.04,Buendia & Laredo,18
JAM,2017.12.09,Consulta,27
JAM,2017.12.09,Consulta,19
JAM,2017.12.17,Parametria,24
JAM,2017.12.17,Parametria,20
